Name	ItemGenre	DetailType	ParticularType	Icon	ObjID	Width	Height	Intro	Stack
B¾c §Èu ThuÇn M· ThuËt - Phi v©n [5/6]	6	39	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi v©n quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phi v©n [6/6]	6	40	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi v©n quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [1/6]	6	41	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [2/6]	6	42	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [3/6]	6	43	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [4/6]	6	44	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [5/6]	6	45	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - B«n tiªu [6/6]	6	46	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa b«n tiªu quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [1/6]	6	47	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [2/6]	6	48	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [3/6]	6	49	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [4/6]	6	50	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [5/6]	6	51	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
B¾c §Èu ThuÇn M· ThuËt - Phiªn vò [6/6]	6	52	1	\spr\item\script\chuanjiadaoshu_YN.spr	41	1	1	Nh©n gian kh¸o nhau r»ng: §©y lµ b¶o vËt ®· tõng gióp c¸c t­íng lÜnh nhµ Tèng thuÇn hãa ®­îc ngùa phi vò quı hiÕm	0
Binh ch­¬ng kü n¨ng 120 Trang [1/6]	6	53	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Binh ch­¬ng kü n¨ng 120 Trang [2/6]	6	54	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Binh ch­¬ng kü n¨ng 120 Trang [3/6]	6	55	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Binh ch­¬ng kü n¨ng 120 Trang [4/6]	6	56	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Binh ch­¬ng kü n¨ng 120 Trang [5/6]	6	57	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Binh ch­¬ng kü n¨ng 120 Trang [6/6]	6	58	1	\spr\item\script\201107\xuanzhi.spr	387	1	1	"Bªn trong cã viÕt tuyÖt kü 120 cña c¸c m«n ph¸I nh­ng bŞ thÊt l¹c ®· l©u, thiªn h¹ t­¬ng truyÒn cã 6 trang. LÔ quang cã thÓ gióp ng­¬I hiÓu nã."	0
Háa tèc triÒu lÖnh	6	59	1	\spr\item\questkey\obj_item_herokey1.spr	352	1	1	"LÖnh bµi do th¸i thó ban tÆng cho ng­êi cã c«ng gi÷ thµnh khái giÆc ngo¹i s©m, dïng ®Ó hoµn thµnh cÊp tèc nhiÖm vô d· tÈu"	0
Bã cñi	6	60	1	\spr\item\event\event_banhchung\bocui.spr	352	1	1	"VËt phÈm sù kiÖn, nguyªn liÖu dïng ®Ó ghĞp b¸nh tĞt ho¹c b¸nh ch­ng."	100
Nåi b¸nh	6	61	1	\spr\item\event\event_banhchung\noibanh.spr	352	1	1	"VËt phÈm sù kiÖn, nguyªn liÖu dïng ®Ó ghĞp b¸nh tĞt ho¹c b¸nh ch­ng."	100
Bao nÕp	6	62	1	\spr\item\event\event_banhchung\baonep.spr	352	1	1	"VËt phÈm sù kiÖn, nguyªn liÖu dïng ®Ó ghĞp b¸nh tĞt ho¹c b¸nh ch­ng."	100
L¸ gãi	6	63	1	\spr\item\event\event_banhchung\lagoi.spr	352	1	1	"VËt phÈm sù kiÖn, nguyªn liÖu dïng ®Ó ghĞp b¸nh tĞt ho¹c b¸nh ch­ng."	100
Hoa Quèc Kh¸nh	6	64	1	\spr\item\script\hongse_meiguihua.spr	41	1	1	VËt PhÈm Sù KiÖn Quèc Kh¸nh<enter><color=blue>XÕp chång tèi ®a:500 c¸i<color>	500
GiÊy Gãi Hoa	6	65	1	\spr\item\script\zhongqiu_jieri\200909\wusezhizhang.spr	41	1	1	VËt PhÈm Sù KiÖn Quèc Kh¸nh<enter><color=blue>XÕp chång tèi ®a:500 c¸i<color>	500
D©y Buéc Hoa	6	66	1	\spr\vng\item\womenday2011\ribbon.spr	41	1	1	VËt PhÈm Sù KiÖn Quèc Kh¸nh<enter><color=blue>XÕp chång tèi ®a:500 c¸i<color>	500
Giá §ùng Hoa	6	67	1	\spr\item\script\basket.spr	41	1	1	VËt PhÈm Sù KiÖn Quèc Kh¸nh<enter><color=blue>XÕp chång tèi ®a:500 c¸i<color>	500
Tiªu Kú	6	68	1	\spr\item\questkey\taskobj033.spr	41	1	2	Tiªu Kú ®­îc r¬i khi tiªu xa bŞ c­íp. Mang vÒ cho Tiªu §Çu ®Ó nhËn th­ëng.	50
VĞ Më Khãa VËn Tiªu	6	69	1	\spr\item\questkey\taskobj092.spr	41	1	1	Dïng ®Ó mê khãa giíi h¹n vËn tiªu hµng ngµy. Cho phĞp ch¹y thªm 1 lÇn n÷a.	10
Hå Tiªu LÖnh	6	70	1	\spr\item\questkey\card_xnk.spr	385	1	1	PhÇn th­ëng tõ event VËn Tiªu. Cã thÓ ®æi lÊy c¸c vËt phÈm hå trî.	999
T¨ng Tèc	6	71	1	\spr\item\questkey\taskobj105.spr	41	1	1	T¨ng tôc ®Ó di chuyÓn trong thêi gian ng¾n. Dµnh cho event VËn Tiªu.	50
Håi M¸u	6	72	1	\spr\item\questkey\huihuangzhiguo.spr	380	1	1	Håi phôc sinh lùc nhanh chãng. Dµng riªng cho VËn Tiªu.	50
DŞch ChuyÓn	6	73	1	\spr\item\questkey\006.spr	385	1	1	DŞch chuyÓn ®Õn vŞ trİ an toµn. Dµnh riªng cho VËn Tiªu.	50
Háa Nguyªn Th¹ch [CÊp 1]	6	74	1	\spr\item\UpgradeItem\hoalinhthach.spr	385	1	1	"<color=yellow>§¸ Kho¸ng Th¹ch MÖnh Háa, tinh hoa hãa nguyªn tİch tô ngµn n¨m. Dung nhËp vµo trang bŞ xanh,chİnh khİ gia t¨ng, uy lùc bÒn v÷ng.<color>"	10
Háa Nguyªn Th¹ch [CÊp 2]	6	75	1	\spr\item\UpgradeItem\hoalinhthach.spr	385	1	1	"<color=yellow>§¸ Kho¸ng Th¹ch MÖnh Háa, tinh hoa hãa nguyªn tİch tô ngµn n¨m. Dung nhËp vµo trang bŞ xanh,chİnh khİ gia t¨ng, uy lùc bÒn v÷ng.<color>"	10
Háa Nguyªn Th¹ch [CÊp 3]	6	76	1	\spr\item\UpgradeItem\hoalinhthach.spr	385	1	1	"<color=yellow>§¸ Kho¸ng Th¹ch MÖnh Háa, tinh hoa hãa nguyªn tİch tô ngµn n¨m. Dung nhËp vµo trang bŞ xanh,chİnh khİ gia t¨ng, uy lùc bÒn v÷ng.<color>"	10
Kim Linh Th¹ch [CÊp 1]	6	77	1	\spr\item\UpgradeItem\hoangkimthach.spr	385	1	1	"<color=yellow>Kim Linh Th¹ch, tinh hoa kim khİ trêi ®Êt hîp thµnh. Dung nhËp vµo trang bŞ xanh, chİnh khİ cøng r¾n, phßng thñ vµ uy lùc gia t¨ng.<color>"	10
Kim Linh Th¹ch [CÊp 2]	6	78	1	\spr\item\UpgradeItem\hoangkimthach.spr	385	1	1	"<color=yellow>Kim Linh Th¹ch, tinh hoa kim khİ trêi ®Êt hîp thµnh. Dung nhËp vµo trang bŞ xanh, chİnh khİ cøng r¾n, phßng thñ vµ uy lùc gia t¨ng.<color>"	10
Kim Linh Th¹ch [CÊp 3]	6	79	1	\spr\item\UpgradeItem\hoangkimthach.spr	385	1	1	"<color=yellow>Kim Linh Th¹ch, tinh hoa kim khİ trêi ®Êt hîp thµnh. Dung nhËp vµo trang bŞ xanh, chİnh khİ cøng r¾n, phßng thñ vµ uy lùc gia t¨ng.<color>"	10
Méc Linh Th¹ch [CÊp 1]	6	80	1	\spr\item\UpgradeItem\moclinhthach.spr	385	1	1	"<color=yellow>Méc Linh Th¹ch, tinh hoa méc khİ sinh s«i kh«ng døt. Dung nhËp vµo trang bŞ xanh, sinh khİ gia t¨ng, c¨n c¬ bÒn v÷ng.<color>"	10
Méc Linh Th¹ch [CÊp 2]	6	81	1	\spr\item\UpgradeItem\moclinhthach.spr	385	1	1	"<color=yellow>Méc Linh Th¹ch, tinh hoa méc khİ sinh s«i kh«ng døt. Dung nhËp vµo trang bŞ xanh, sinh khİ gia t¨ng, c¨n c¬ bÒn v÷ng.<color>"	10
Méc Linh Th¹ch [CÊp 3]	6	82	1	\spr\item\UpgradeItem\moclinhthach.spr	385	1	1	"<color=yellow>Méc Linh Th¹ch, tinh hoa méc khİ sinh s«i kh«ng døt. Dung nhËp vµo trang bŞ xanh, sinh khİ gia t¨ng, c¨n c¬ bÒn v÷ng.<color>"	10
Thñy Linh Th¹ch [CÊp 1]	6	83	1	\spr\item\UpgradeItem\thuylinhthach.spr	385	1	1	"<color=yellow>Thñy Linh Th¹ch, tinh hoa Thñy khİ nhu hßa tİch tô. Dung nhËp vµo trang bŞ xanh, néi lùc bÒn dµi, uy lùc l­u chuyÓn kh«ng ngõng.<color>"	10
Thñy Linh Th¹ch [CÊp 2]	6	84	1	\spr\item\UpgradeItem\thuylinhthach.spr	385	1	1	"<color=yellow>Thñy Linh Th¹ch, tinh hoa Thñy khİ nhu hßa tİch tô. Dung nhËp vµo trang bŞ xanh, néi lùc bÒn dµi, uy lùc l­u chuyÓn kh«ng ngõng.<color>"	10
Thñy Linh Th¹ch [CÊp 3]	6	85	1	\spr\item\UpgradeItem\thuylinhthach.spr	385	1	1	"<color=yellow>Thñy Linh Th¹ch, tinh hoa Thñy khİ nhu hßa tİch tô. Dung nhËp vµo trang bŞ xanh, néi lùc bÒn dµi, uy lùc l­u chuyÓn kh«ng ngõng.<color>"	10
C¸t Linh Th¹ch	6	86	1	\spr\item\UpgradeItem\catlinhthach.spr	385	1	1	"<color=yellow>C¸t Linh Th¹ch, tinh hoa c¸t khİ trêi ®Êt hîp thµnh. Dïng trong luyÖn khİ cã thÓ gia t¨ng c¬ duyªn, khiÕn qu¸ tr×nh Ğp ®å thuËn lîi h¬n.<color>"	10
HuyÒn Tinh CÊp 1	6	87	1	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	"HuyÒn Tinh huyÒn tho¹i, +8 Luck cho trang bŞ Tİm"	50
HuyÒn Tinh CÊp 2	6	88	1	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	"HuyÒn Tinh huyÒn tho¹i, +9 Luck cho trang bŞ Tİm"	50
HuyÒn Tinh CÊp 3	6	89	1	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	"HuyÒn Tinh huyÒn tho¹i, +10 Luck cho trang bŞ Tİm"	50
HuyÒn Tinh CÊp 4	6	90	1	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	"HuyÒn Tinh siªu huyÒn tho¹i, +11 Luck cho trang bŞ Tİm"	50
