Name	ItemGenre	DetailType	ParticularType	Icon	ObjID	Width	Height	Intro	ScriptFile	Stack	TaskID	MaxTaskId
Long HuyÕt Hoµn	7	23	1	\spr\item\questkey\taskobj018.spr	41	1	1	"T­¬ng truyÒn ®©y lµ tİn vËt ®İnh h«n cña Nhİp nhİ trÇn, sö dông cã nã cã thÓ t¨ng thªm mét lÇn tham gia ho¹t ®éng <color=green>  v­ît ¶I <color> trong ngµy."	\script\item\luascript\longhuyethoan.lua	50		
Bµn Nh­îc T©m Kinh	7	24	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"PhËt gia b¶o ®iÓn, nÕu cã thÓ ®äc hiÓu sÏ tÈy ®­îc ®iÓm kinh nghiÖm ©m."	\script\item\luascript\bannhuoctamkinh.lua	0		
ThÇn bİ ®Şa ®å chİ	7	25	1	\spr\item\questkey\5545.spr	424	1	1	NhÆt ®­îc sö dông ngay	\script\item\luascript\dochi.lua	0		
ThÇn bİ mËt chİ	7	26	1	\spr\item\questkey\0053.spr	424	1	1	NhÆt ®­îc sö dông ngay	\script\item\luascript\matchi.lua	0		
ThŞt Heo rõng	7	27	1	\spr\item\questkey\taskobj398.spr	364	1	1	§Õn gÆp vâ s­ trong lµng ®æi lÊy ng©n l­îng	\script\item\luascript\thitheo.lua	0		
X¸ lîi T©m Kinh (TiÓu)	7	28	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	ChŞu khã tu t©m tông niÖm sÏ gi¶m 1 trŞ PK.	\script\item\luascript\xaloikimdon1.lua	0		
X¸ lîi T©m Kinh (Trung)	7	29	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	ChŞu khã tu t©m tông niÖm sÏ gi¶m 2 trŞ PK.	\script\item\luascript\xaloikimdon2.lua	0		
X¸ lîi T©m Kinh (§¹i)	7	30	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	ChŞu khã tu t©m tông niÖm sÏ gi¶m 3 trŞ PK.	\script\item\luascript\xaloikimdon3.lua	0		
ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	7	31	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m QuyÒn Ph¸p, luyÖn tËp sÏ thuÇn thôc <§¹t Ma §é Giang>kü n¨ng."	\script\item\luascript\factionbox.lua	0		
ThiÕu L©m §ao ph¸p. QuyÓn 3	7	32	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m §ao ph¸p, luyÖn tËp sÏ thuÇn thôc <V« T­íng Tr¶m>."	\script\item\luascript\factionbox.lua	0		
ThiÕu L©m C«n ph¸p. QuyÓn 2	7	33	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m C«n ph¸p, luyÖn tËp sÏ thuÇn thôc <Hoµnh T¶o Thiªn Qu©n>."	\script\item\luascript\factionbox.lua	0		
Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	7	34	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bªn trong ghi l¹i nh÷ng tuyÖt kü Truy Tinh Trôc NguyÖt	\script\item\luascript\factionbox.lua	0		
Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	7	35	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thiªn V­¬ng bang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
Thiªn V­¬ng §ao ph¸p.QuyÓn 3	7	36	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thiªn V­¬ng §ao Ph¸p, QuyÓn 3, häc thuéc sÏ thuÇn thôc Truy phong QuyÕt"	\script\item\luascript\factionbox.lua	0		
Tô TiÔn thuËt. B¹o Vò Lª Hoa	7	37	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"YÕu quyÕt B¹o Vò Lª Hoa, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng B¹o Vò Lª Hoa."	\script\item\luascript\factionbox.lua	0		
Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh	7	38	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"§­êng m«n Phi §ao thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc NhiÕp hån NguyÖt ¶nh"	\script\item\luascript\factionbox.lua	0		
Phi Tiªu thuËt. Cöu Cung Phi Tinh	7	39	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"§­êng m«n Phi Tiªu thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
H·m TÜnh thuËt.Lo¹n Hoµn Kİch	7	40	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"bİ truyÒn cña §­êng m«n, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng Lo¹n Hoµn Kİch."	\script\item\luascript\factionbox.lua	0		
Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	7	41	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc Ch­ëng Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc ¢m Phong Thùc Cèt"	\script\item\luascript\factionbox.lua	0		
Ngò §éc §ao ph¸p. QuyÓn 2	7	42	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc HuyÒn ¢m Tr¶m"	\script\item\luascript\factionbox.lua	0		
Ngò §éc NhiÕp T©m thuËt. QuyÓn 3	7	43	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc t©m ph¸p, luyÖn tËp sÏ thuÇn thôc <§o©n C©n Hñ Cèt >"	\script\item\luascript\factionbox.lua	0		
Nga Mi  PhËt Quang Ch­ëng MËt TŞch	7	44	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nga Mi MËt tŞch, h­íng dÉn luyÖn tËp <Phong S­¬ng To¸i ¶nh>."	\script\item\luascript\factionbox.lua	0		
DiÖt KiÕm MËt TŞch	7	45	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nga Mi MËt TŞch, ghi l¹i nh÷ng chiªu kiÕm tuyÖt kü cña Nga Mi"	\script\item\luascript\factionbox.lua	0		
Phæ §é MËt TŞch	7	46	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Phæ §é MËt TŞch, ghi chó chiªu thøc <Phæ §é Chóng Sinh>"	\script\item\luascript\factionbox.lua	0		
Thóy Yªn §ao ph¸p	7	47	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thóy Yªn m«n, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
Thóy Yªn Song ®ao	7	48	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch  song ®ao, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
C¸i Bang Ch­ëng Ph¸p	7	49	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C¸i Bang Ch­ëng Ph¸p,luyÖn tËp sÏ thuÇn thôc <Phi Long T¹i Thiªn>"	\script\item\luascript\factionbox.lua	0		
C¸i Bang C«n ph¸p	7	50	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C¸i Bang C«n ph¸p,luyÖn tËp sÏ thuÇn thôc <Thiªn H¹ V« CÈu>."	\script\item\luascript\factionbox.lua	0		
L­u Tinh. §ao ph¸p	7	51	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thiªn NhÉn, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
V©n Long Kİch. M©u ph¸p	7	52	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ghi l¹i chiªu thøc cao cÊp cña Thiªn NhÉn m©u ph¸p, häc xong sÏ lÜnh héi ®­îc chiªu thøc <V©n Long Kİch>."	\script\item\luascript\factionbox.lua	0		
NhiÕp Hån. Chó thuËt	7	53	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Chiªu thøc bïa chó cao cÊp cña Thiªn nhÉn, häc xong sÏ lÜnh héi ®­îc <NhiÕp hån lo¹n t©m>."	\script\item\luascript\factionbox.lua	0		
Th¸i Cùc QuyÒn Phæ. QuyÓn 3	7	54	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch  Vâ §ang, xem tõ tõ cã thÓ hiÓu"	\script\item\luascript\factionbox.lua	0		
Th¸i Cùc KiÕm Phæ. QuyÓn 2	7	55	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch kü n¨ng Vâ §ang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	\script\item\luascript\factionbox.lua	0		
Ngù L«i thuËt	7	56	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n KiÕm Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc L«i ®éng Cöu Thiªn"	\script\item\luascript\factionbox.lua	0		
Ngù Phong thuËt	7	57	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Ng¹o TuyÕt Tiªu Phong"	\script\item\luascript\factionbox.lua	0		
Ngù T©m thuËt	7	58	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n t©m Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Tóy Tiªn T¸ Cèt"	\script\item\luascript\factionbox.lua	0		
Lu©n håi. BÕ NguyÖt PhÊt TrÇn tuyÖt kü	7	59	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Nga Mi ph¸i n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
DŞch Cèt Kinh. HÊp Tinh YÓm tuyÖt kü	7	60	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Ngò §éc gi¸o n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
§¹i Bi Chó.  §¹i Thõa Nh­ Lai Chó tuyÖt kü	7	61	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p ThiÕu L©m ph¸i n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
Tİnh Ng¹o Tam §«ng. Hçn Thiªn Khİ C«ng tuyÖt kü	7	62	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p C¸i Bang  n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
B¨ng TuyÕt S¬ Dung. Ngù TuyÕt Èn tuyÖt kü	7	63	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Thóy yªn m«n n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
L­u Quang Phi Vò. Mª ¶nh Tung tuyÖt kü	7	64	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p §­êng m«n  n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
Tam Sinh H÷u H¹nh. L­ìng Nghi Ch©n Khİ tuyÖt kü	7	65	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p C«n L«n ph¸i n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
Ng­ng ¢m Quy Nguyªn. Ma ©m phÖ Ph¸ch tuyÖt kü	7	66	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Thiªn NhÉn  n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
Tam Phôc Chi Khİ. §¶o H­ Thiªn tuyÖt kü	7	67	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Thiªn V­¬ng Bang  n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
ThuÇn D­¬ng V« Cùc. Xu©n ­ BÊt NhiÔm tuyÖt kü	7	68	1	\spr\item\task\stunt.spr	374	1	1	T©m ph¸p Vâ §ang ph¸i n©ng cao hç trî kü n¨ng	\script\item\luascript\factionbox.lua	0		
CÈm nang t©n thñ	7	69	1	\spr\item\script\jingniangshijian.spr	41	1	1	"Giang hå chØ nam, S¬ nhËp giang hå rÊt cÇn ®Õn nã bªn trong ch­a ®ùng nh÷ng bİ mËt ®­îc ghi chĞp mét c¸ch kü l­ìng"	\script\item\luascript\newbiecard.lua	0		
Tói m¸u 	7	70	1	\spr\item\questkey\tuimauxanh.spr	347	1	1	"Bªn trong cã ch­a v« vµng th©n d­îc quı hiÕp, lµ mét lo¹i vËt phÈm ®Æc biÖt kh«ng thÓ thiÕu trong qu¸ tr×nh b«n tÈu cña nh©n sÜ giang hå"	\script\item\luascript\bloodbox.lua	0		
M¶nh b¶n ®å s¬n hµ x· t¾c (1000 m¶nh)	7	71	1	\spr\item\questkey\obj_item_shanhe.spr	351	1	1	Chuét ph¶i sö dông ®Ó nhËn ®­îc 1000 m¶nh b¶n ®å s¬n hµ x· t¾c.	\script\item\luascript\shanhe-canpian.lua	1000		
Danh väng lé	7	72	1	\spr\item\questkey\taskobj072.spr	370	1	1	Sö dông nhËn ®­îc ngay 50 ®iÓm danh väng	\script\item\luascript\repute.lua	0		
Phi Phong	7	73	1	\spr\item\obj_item_mantle.spr	370	1	1	"Lo¹i ¸o kho¸c trang trİ, cã thÓ kho¸c lªn bÊt cø lo¹i y phôc nµo"	\script\item\luascript\mantle.lua	0		
M· bµi - Xİch thè	7	74	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i sö dông ®Ó nhËn ®­îc 1 Xİch Thè	\script\item\luascript\horselib.lua	0		
M· bµi - §İch L«	7	75	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i sö dông ®Ó nhËn ®­îc 1 §İch L«	\script\item\luascript\horselib.lua	0		
M· bµi - TuyÖt ¶nh	7	76	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i sö dông ®Ó nhËn ®­îc 1 TuyÖt ¶nh	\script\item\luascript\horselib.lua	0		
M· bµi - ¤ V©n §¹p TuyÕt	7	77	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó sö dông ®Ó nhËn ®­îc 1 ¤ V©n §¹p TuyÕt	\script\item\luascript\horselib.lua	0		
M· bµi - ChiÕu D¹ Ngäc S­ Tö	7	78	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó sö dông ®Ó nhËn ®­îc 1 ChiÕu D¹ Ngäc S­ Tö	\script\item\luascript\horselib.lua	0		
M· bµi - B«n Tiªu	7	79	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 B«n Tiªu	\script\item\luascript\horselib.lua	0		
M· bµi - Phiªn Vò	7	80	1	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 Phiªn Vò	\script\item\luascript\horselib.lua	0		
ChiÕn cæ 	7	81	1	\spr\item\songjin\wardrum.spr	384	1	1	"Néi trong 3 phót, ®ång ®éi xung quanh t¨ng 30% Sinh lùc+ Phßng thñ "	\script\item\battles\wardrum.lua	50		
LÖnh bµi	7	82	1	\spr\item\songjin\token.spr	385	1	1	"Néi trong 3 phót, ®ång ®éi xung quanh t¨ng 30% di chuyÓn, xuÊt chiªu t¨ng 50%."	\script\item\battles\token.lua	50		
Binh SÜ hiÖu phï 	7	83	1	\spr\item\songjin\clarion.spr	386	1	1	Gäi thªm 2 NPC hç trî chiÕn ®Êu	\script\item\battles\clarion.lua	50		
Cê hiÖu 	7	84	1	\spr\item\songjin\warflag.spr	387	1	1	"Sau khi chuyÓn So¸i Kú ®Õn môc tiªu, NhÊn chuét ph¶i vµo Cê hiÖu ®Ó hoµn thµnh nhiÖm vô "	\script\item\battles\useflagitem.lua	50		
Kim Chi ChiÕn Hån 	7	85	1	\spr\item\questkey\003.spr	388	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\pneuma_jin.lua	50		
Méc Chi ChiÕn Hån 	7	86	1	\spr\item\questkey\003.spr	389	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\pneuma_mu.lua	50		
Thñy Chi ChiÕn Hån 	7	87	1	\spr\item\questkey\003.spr	390	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\pneuma_shui.lua	50		
Háa Chi ChiÕn Hån 	7	88	1	\spr\item\questkey\003.spr	391	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\pneuma_huo.lua	50		
Thæ Chi ChiÕn Hån 	7	89	1	\spr\item\questkey\003.spr	392	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\pneuma_tu.lua	50		
Kim Chi Hé gi¸p  	7	90	1	\spr\item\questkey\003.spr	393	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\armor_jin.lua	50		
Méc Chi Hé gi¸p  	7	91	1	\spr\item\questkey\003.spr	394	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\armor_mu.lua	50		
Thñy Chi Hé gi¸p  	7	92	1	\spr\item\questkey\003.spr	395	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\armor_shui.lua	50		
Háa Chi Hé gi¸p  	7	93	1	\spr\item\questkey\003.spr	396	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\armor_huo.lua	50		
Thæ Chi Hé gi¸p  	7	94	1	\spr\item\questkey\003.spr	397	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\armor_tu.lua	50		
Kim Chi Lîi NhËn	7	95	1	\spr\item\questkey\003.spr	398	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\weapon_jin.lua	50		
Méc Chi Lîi NhËn	7	96	1	\spr\item\questkey\003.spr	399	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\weapon_mu.lua	50		
Thñy Chi Lîi NhËn	7	97	1	\spr\item\questkey\003.spr	400	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\weapon_shui.lua	50		
Háa Chi Lîi NhËn	7	98	1	\spr\item\questkey\003.spr	401	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\weapon_huo.lua	50		
Thæ Chi Lîi NhËn	7	99	1	\spr\item\questkey\003.spr	402	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\weapon_tu.lua	50		
Hµnh qu©n ®¬n 	7	100	1	\spr\item\questkey\003.spr	403	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\sj_xingjundan.lua	50		
TiÓu hoµn ®¬n 	7	101	1	\spr\item\questkey\003.spr	404	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\sj_xiaohuandan.lua	50		
Ngò Hoa Lé 	7	102	1	\spr\item\questkey\003.spr	405	1	1	NhÆt ®­îc sö dông ngay	\script\item\battles\sj_wuhualu.lua	50		
Tèng Kim Ngo¹i Phæ hoµn	7	103	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, s¸t th­¬ng vËt lı hÖ ngo¹i c«ng t¨ng 50%."	\script\item\battles\sj_waipuwan.lua	50		
Tèng Kim Ngo¹i §éc hoµn	7	104	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, s¸t th­¬ng vËt lı hÖ §éc ngo¹i c«ng t¨ng 50 ®iÓm."	\script\item\battles\sj_waiduwan.lua	50		
Tèng Kim Ngo¹i B¨ng hoµn	7	105	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, s¸t th­¬ng vËt lı hÖ B¨ng ngo¹i c«ng t¨ng 100 ®iÓm."	\script\item\battles\sj_waibingwan.lua	50		
Tèng Kim Néi Phæ hoµn	7	106	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, s¸t th­¬ng vËt lı hÖ Néi c«ng t¨ng 100 ®iÓm."	\script\item\battles\sj_neipuwan.lua	50		
Tèng Kim Néi §éc hoµn	7	107	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, s¸t th­¬ng §éc hÖ Néi c«ng t¨ng 50 ®iÓm."	\script\item\battles\sj_neiduwan.lua	50		
Tèng Kim Néi B¨ng hoµn	7	108	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, B¨ng s¸t hÖ Néi c«ng t¨ng 100 ®iÓm."	\script\item\battles\sj_neibingwan.lua	50		
Tèng Kim Néi Háa hoµn	7	109	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, Ho¶ s¸t hÖ Néi c«ng t¨ng 100 ®iÓm."	\script\item\battles\sj_neihuowan.lua	50		
Tèng Kim Néi L«i hoµn	7	110	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, L«i s¸t hÖ Néi c«ng t¨ng 100 ®iÓm."	\script\item\battles\sj_neidianwan.lua	50		
Tèng Kim Tr­êng MÖnh hoµn	7	111	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, sinh mÖnh t¨ng 500 ®iÓm."	\script\item\battles\sj_changmingwan.lua	50		
Tèng Kim Gia Bµo hoµn	7	112	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, tèc ®é di chuyÓn t¨ng 20%"	\script\item\battles\sj_jiapaowan.lua	50		
Tèng Kim Cao ThiÓm hoµn	7	113	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, nĞ tr¸ch t¨ng 500 ®iÓm."	\script\item\battles\sj_gaoshanwan.lua	50		
Tèng Kim Cao Trung hoµn	7	114	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, nĞ tr¸ch t¨ng 500 ®iÓm."	\script\item\battles\sj_gaozhongwan.lua	50		
Tèng Kim Phi Tèc hoµn	7	115	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi trong 3 phót, tèc ®é c«ng kİch t¨ng 50%."	\script\item\battles\sj_feisuwan.lua	50		
