ItemName	ItemGenre	DetailType	ParticularType	ImageName	ObjIdx	Width	Height	Intro	Series	Price	Level	PropType1	Min	Max	PropType2	Min	Max	PropType3	Min	Max	PropType4	Min	Max	PropType5	Min	Max	PropType6	Min	Max	PropType7	Min	Max	PropReq1	Param	PropReq2	Param	PropReq3	Param	PropReq4	Param	PropReq5	Param	PropReq6	Param	Magic1	Magic2	Magic3	Magic4	Magic5	Magic6	Set	SetNum	SetId	ExtraMagic1	ExtraMagic2
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	140	140	31	80	80																36	99	32	110	39	4							2	320	199	88	8	330	8	5	5		
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	30	315	315	31	85	85																36	90	32	110	39	4							418	309	197	312	421	420	9	5	1		
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ Hoµng Kim	1	49999	10																						36	99	39	4									2	88	331	95	8	107	9	5	2		
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10																						36	80	39	4									129	130					9	5	3		
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	10																						36	95	39	4									4	158	6	332			9	5	4		
V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	31	80	80																			36	85	39	4									2	419	6	203	417	115	9	5	5		
Tª Hoµng Phông Nghi ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							2	43	48	71	113	159	10	5	1		
Tª Hoµng TuÖ T©m Khinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	90	32	260	39	5							2	306	207	317			10	5	2		
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	135	39	5							2	309	206	307	6	426	10	5	3		
Tª Hoµng B¨ng Tung CÈm uyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ Hoµng Kim	1	49999	10	30	135	135	31	80	80																36	95	32	110	39	5							2	333	439	307	6	204	10	5	4		
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10																						36	80	39	5									129	130					10	5	5		
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bÞ Hoµng Kim	2	49999	10	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							4	304	209	148	8	159	11	5	1		
BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	10																						36	95	39	5									2	95	6	107	88	211	11	5	2		
BÝch H¶i Hång Linh Kim Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	419	421	422	11	5	3		
BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	10	31	60	60																			36	85	39	5									1	296	8	39	78	282	11	5	4		
BÝch H¶i Khiªn TÕ ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	5									129	130					11	5	5		
U Lung Kim Xµ Ph¸t ®¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160	12	5	1		
U Lung XÝch YÕt MËt trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	10	30	630	630	31	90	90																36	90	32	135	39	3							2	40	225	317	6	334	12	5	2		
U Lung Thanh Ng« TriÒn yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ Hoµng Kim	0	49999	10	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	307	6	423	12	5	3		
U Lung Ng©n ThÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	4	49999	10	30	111	111	31	80	80																36	95	32	90	39	3							129	130					12	5	4		
U Lung MÆc Thï NhuyÔn Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	140	140	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12	5	5		
Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							46	69	113	73	41	75	13	5	1		
Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	720	720	31	90	90																36	90	32	260	39	3							418	336	306	307	6	417	13	5	2		
Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10																						36	80	39	3									129	130					13	5	3		
Minh ¶o Hñ Cèt Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	307	335	425	13	5	4		
Minh ¶o Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	30	160	160	31	80	80																36	85	32	135	39	3							2	104	335	336	6	231	13	5	5		
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	49999	10	30	315	315	31	85	85																36	85	32	110	39	3							2	337	6	307	233	31	14	5	1		
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	3	49999	10																						36	99	39	3									2	93	234	95	8	107	14	5	2		
Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	3									129	130					14	5	3		
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	2	49999	10	30	111	111	31	80	80																36	90	32	90	39	3							418	309	161	312	421	423	14	5	4		
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	0	49999	10	30	140	140	31	80	80																36	95	32	110	39	3							2	104	236	27	6	235	14	5	5		
B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ Hoµng Kim	0	49999	10	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					2	44	46	69	113	162	15	5	1		
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	95	32	110	33	165	39	2					418	338	306	307	6	215	15	5	2		
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	212	307	6	423	15	5	3		
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	2									129	130					15	5	4		
B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	30	160	160	31	80	80																36	90	32	90	33	110	39	2					2	104	214	338	6	213	15	5	5		
Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ Hoµng Kim	0	49999	10	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					8	43	48	71	113	162	16	5	1		
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10																						36	95			39	2							2	317	212	107	8		16	5	2		
Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	307	6	425	16	5	3		
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	30	135	135	31	80	80																36	85	32	75	33	90	39	2					2	339	437	317	6	216	16	5	4		
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10																						36	80			39	2							129	130					16	5	5		
S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ Hoµng Kim	0	49999	10	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					4	43	48	71	113	162	17	5	1		
S©m Hoang KimTiÒn Liªn Hoµn Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317			17	5	2		
S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	219	307	6	423	17	5	3		
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	2									129	130					17	5	4		
S©m Hoang Tinh VÉn Phi Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	30	160	160	31	80	80																36	90	32	90	33	110	39	2					418	340	320	307	6	214	17	5	5		
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	49999	10	30	315	315	31	85	85																36	85	32	110	39	2							418	341	437	307	6	224	18	5	1		
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	3	49999	10																						36	95	39	2									1	222	221	95	8	107	18	5	2		
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	2									129	130					18	5	3		
§Þa Ph¸ch KhÊu T©m tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	2	49999	10	30	111	111	31	80	80																36	99	32	90	39	2							418	309	223	307	6	423	18	5	4		
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	0	49999	10	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6		18	5	5		
§ång Cõu Phi Long §Çu hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6		19	5	1		
§ång Cõu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19	5	2		
§ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ Hoµng Kim	2	49999	10	30	140	140	31	80	80																36	85	32	110	39	6							2	312	239	309	6	420	19	5	3		
§ång Cõu Kh¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164	19	5	4		
§ång Cõu KiÕn Long Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10																						36	80	39	6									129	130					19	5	5		
§Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	2	49999	10	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							46	69	113	73	42	164	20	5	1		
§Þch Kh¸i Cöu §¹i C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	720	720	31	90	90																36	90	32	260	39	6							2	306	242	312	6	289	20	5	2		
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	160	160	31	80	80																36	95	32	135	39	6							2	309	243	312	6	343	20	5	3		
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	140	140	31	80	80																36	85	32	110	39	6							2	423	244	312	6	420	20	5	4		
§Þch Kh¸i Th¶o Gian Th¹ch giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	6									129	130					20	5	5		
Ma S¸t Quû Cèc U Minh Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	49999	10	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					46	69	51	73	43	165	21	5	1		
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	Trang bÞ Hoµng Kim	0	49999	10	30	720	720	31	90	90																36	90	32	210	39	7							4	306	423	419	421	247	21	5	2		
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	30	160	160	31	80	80																36	85	32	135	39	7							418	309	417	312	6	344	21	5	3		
Ma S¸t Cö Háa Liªu Thiªn uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	30	135	135	31	80	80																36	95	32	110	39	7							4	344	248	85	6	246	21	5	4		
Ma S¸t V©n Long Thæ Ch©u giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10																						36	80	39	7									129	130					21	5	5		
Ma Hoµng Kim Gi¸p Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ Hoµng Kim	0	49999	10	30	315	315	31	85	85																36	90	32	110	39	7							2	346	257	312	6	166	22	5	1		
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10	31	60	60																			36	95	39	7									1	60	62	95	87	107	22	5	2		
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	30	140	140	31	80	80																36	85	32	110	39	7							2	309	254	312	6	420	22	5	3		
