Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value																																																								
Tinh §ång Yªu §¸i	0	6	1	1		\spr\item\equip\sash\obj-sash11.spr	33	2	1	D©y l­ng nÆng vµ ch¾c ch¾n	165	30	17	17	31	15	15																36	1	32	30	33	0																																																														
TÝch Yªu §¸i	0	6	1	2		\spr\item\equip\sash\obj-sash12.spr	33	2	1	"D©y l­ng b»ng thiÕc, nhÑ nh­ng ch¾c ch¾n"	450	30	28	28	31	15	15																36	8	32	44	33	0																																																														
Hoµng §ång Yªu §¸i	0	6	1	3		\spr\item\equip\sash\obj-sash13.spr	33	2	1	"D©y l­ng b»ng §ång ®á, nhÑ nh­ng ch¾c ch¾n. "	1200	30	42	42	31	15	15																36	14	32	59	33	0																																																														
ThiÕt Yªu §¸i	0	6	1	4		\spr\item\equip\sash\obj-sash14.spr	33	2	1	"D©y l­ng b»ng s¾t, bÒn v÷ng v« song. "	1850	30	56	56	31	15	15																36	20	32	74	33	0																																																														
Tinh §ång Yªu §¸i	0	6	1	5		\spr\item\equip\sash\obj-sash15.spr	33	2	1	"D©y l­ng b»ng §ång, tuy ch¾c ch¾n nh­ng l¹i kh«ng ®Ñp. "	2700	30	70	70	31	15	15																36	27	32	89	33	0																																																														
Ng©n Yªu §¸i	0	6	1	6		\spr\item\equip\sash\obj-sash16.spr	33	2	1	"Day l­ng b»ng B¹ch Ng©n, võa dÎo võa ch¾c. "	3700	30	84	84	31	15	15																36	33	32	104	33	0																																																														
MËt Ng©n Yªu §¸i	0	6	1	7		\spr\item\equip\sash\obj-sash17.spr	33	2	1	"KÕt hîp gi÷a B¹ch ng©n vµ B¹ch Kim, kh¶ n¨ng phßng ngù rÊt tèt. "	4900	30	98	98	31	15	15																36	40	32	119	33	0																																																														
Kim Yªu §¸i	0	6	1	8		\spr\item\equip\sash\obj-sash18.spr	33	2	1	"Hoµng Kim Yªu §¸i, kh«ng chØ ®Ñp mµ cßn cã kh¶ n¨ng phßng ngù. "	7000	30	112	112	31	15	15																36	47	32	134	33	0																																																														
¤ Ng©n Yªu §¸i	0	6	1	9		\spr\item\equip\sash\obj-sash19.spr	33	2	1	"§­îc lµm tõ l«ng Kim ¤, cùc kú hiÕm, tÝnh dÎo siªu viÖt. "	8500	30	126	126	31	15	15																36	54	32	149	33	0																																																														
B¹ch Kim Yªu §¸i	0	6	1	10		\spr\item\equip\sash\obj-sash20.spr	33	2	1	"Lµm tõ lo¹i B¹ch Kim cùc kú quý hiÕm, kh¶ n¨ng phßng ngù h¬n h¼n c¸c lo¹i hîp kim kh¸c. "	10000	30	140	140	31	15	15																36	60	32	164	33	0																																																														
