Name	Genre	DetailType	ParticularType	Level	Series	Icon	ObjID	Width	Height	Intro	Price	BasicProp1Type	BasicProp1PAMin	BasicProp1PAMax	BasicProp2Type	BasicProp2PAMin	BasicProp2PAMax	BasicProp3Type	BasicProp3PAMin	BasicProp3PAMax	BasicProp4Type	BasicProp4PAMin	BasicProp4PAMax	BasicProp5Type	BasicProp5PAMin	BasicProp5PAMax	BasicProp6Type	BasicProp6PAMin	BasicProp6PAMax	BasicProp7Type	BasicProp7PAMin	BasicProp7PAMax	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
TuyÖt ¶nh	0	10	5	3	5	\spr\item\equip\horse\horse005.spr	40	2	3	"TuyÖt thÕ danh m·, sung m·n b¸ khÝ, Tµo Th¸o ®· tõng cìi."	250000	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
§Ých L« 	0	10	5	4	5	\spr\item\equip\horse\horse008.spr	40	2	3	"TuyÖt thÕ danh m·, truy phong ho¸n vò, ngµy ®i ngh×n dÆm."	250000	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
ChiÕu D¹ Ngäc S­ Tö 	0	10	5	5	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" cã søc m¹nh phi th­êng, c­ìi m©y ®¹p giã."	250000	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
¤ V©n §¹p TuyÕt	0	10	5	6	5	\spr\item\equip\horse\horse010.spr	40	2	3	"TuyÖt thÕ danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi cã thÓ mua."	250000	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
XÝch Thè 	0	10	5	7	5	\spr\item\equip\horse\horse011.spr	40	2	3	"Còng ®­îc xÕp vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	250000	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
TuyÖt ¶nh	0	10	5	8	5	\spr\item\equip\horse\horse005.spr	40	2	3	"TuyÖt thÕ danh m·, sung m·n b¸ khÝ, Tµo Th¸o ®· tõng cìi."	250000	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
§Ých L« 	0	10	5	9	5	\spr\item\equip\horse\horse008.spr	40	2	3	"TuyÖt thÕ danh m·, truy phong ho¸n vò, ngµy ®i ngh×n dÆm."	250000	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
ChiÕu D¹ Ngäc S­ Tö 	0	10	5	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" cã søc m¹nh phi th­êng, c­ìi m©y ®¹p giã."	250000	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
B«n Tiªu	0	10	6	1	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	2	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	3	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	4	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	5	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	6	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	7	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	8	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	9	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
B«n Tiªu	0	10	6	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	100										
Phiªn Vò 	0	10	7	1	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	2	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	3	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	4	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	5	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	6	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	7	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	8	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	9	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phiªn Vò 	0	10	7	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	100										
Phi V©n	0	10	8	1	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	2	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	3	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	4	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	5	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	6	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	7	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	8	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	9	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	10	5	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã"	50000	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
XÝch Long C©u	0	10	9	1	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	2	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	3	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	4	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	5	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	6	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	7	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	8	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	9	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
XÝch Long C©u	0	10	9	10	6	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	250000	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130	46	1								
TuyÖt §Þa	0	10	10	1	5	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt §Þa	0	10	10	2	5	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	250000	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
