Name	Genre	Detail	Image	ObjId	Width	Height	Intro	Price	CanSale	CanRemove	Stack	ShortKey
M· bµi - Phi V©n	5	12	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Phi V©n	1000	1	0	0	0
M· bµi - B«n Tiªu	5	13	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>B«n Tiªu	1000	1	0	0	0
M· bµi - Phiªn Vò 	5	14	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Phiªn Vò	1000	1	0	0	0
M· Bµi - Siªu Quang	5	15	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Siªu Quang	1000	1	0	0	0
An Bang Ngäc béi b¶o r­¬ng	5	16	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i<enter>An Bang §iÒn Hoµng Th¹ch Ngäc béi.	0	1	0	0	0
An Bang Th­îng giíi b¶o r­¬ng	5	17	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i<enter>An Bang Cóc Hoa Th¹ch chØ hoµn.	0	1	0	0	0
An Bang H¹ giíi b¶o r­¬ng	5	18	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i<enter>An Bang Kª HuyÕt Th¹ch giíi chØ.	0	1	0	0	0
An Bang H¹ng liªn b¶o r­¬ng	5	19	\spr\item\script\item_qianbaoxiang.spr	41	1	1	Bªn trong cã 1 c¸i<enter>An Bang B¨ng Tinh Th¹ch h¹ng liªn.	0	1	0	0	0
§Şnh Quèc ¤ Sa b¶o r­¬ng	5	20	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i<enter>§Şnh Quèc ¤ Sa Ph¸t qu¸n.	0	1	0	0	0
§Şnh Quèc Thanh Sa b¶o r­¬ng	5	21	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i<enter>§Şnh Quèc Thanh Sa tr­êng sam.	0	1	0	0	0
§Şnh Quèc Xİch Quyªn b¶o r­¬ng	5	22	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i<enter>§Şnh Quèc Xİch Quyªn NhuyÔn ngoa.	0	1	0	0	0
§Şnh Quèc Tö §»ng b¶o r­¬ng	5	23	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i<enter>§Şnh Quèc Tö §»ng hé uyÓn.	0	1	0	0	0
§Şnh Quèc Ng©n Tµm b¶o r­¬ng	5	24	\spr\item\oldbox\oldbox.spr	41	1	1	Bªn trong cã 1 c¸i<enter>§Şnh Quèc Ng©n Tµm yªu ®¸i.	0	1	0	0	0
Nhu T×nh LÔ Bao	5	25	\spr\item\twzhuanyun\zhuanyunbao_big.spr	448	1	1	1 bé trang bŞ Nhu T×nh ®Çy ®ñ.	0	1	0	0	0
Hép lÔ vËt v­ît ¶i	5	26	\spr\item\obj_item_giftb.spr	344	1	1	PhÇn th­ëng hoµn thµnh v­ît ¶i. Më ra sÏ nhËn mét b¶o vËt ngÉu nhiªn	0	1	0	999	0
Tèng Kim B¶o vËt	5	27	\spr\item\script\songjinmibao.spr	41	1	1	"PhÇn th­ëng tİnh n¨ng Tèng Kim, bªn trong chøa ®ùng nh÷ng vËt phÈm quı hiÕm."	0	1	0	999	0
B¶o R­¬ng Thñy TÆc	5	28	\spr\item\script\shuizeibaoxiang.spr	41	1	1	Thñy TÆc §¹i §Çu LÜnh r¬i ra.	0	1	0	999	0
ThÎ ®Æt c­îc	5	29	\spr\item\questkey\card_xnk.spr	38	1	1	Dïng ®Ó ®o¸n sè trß ch¬i 'Con sè may m¾n'. Xem kÕt qu¶ t¹i LÔ quan.	100	1	0	0	0
GiÊy Mµu Vµng	5	30	\spr\vng\item\JXF_GIAY VANG.spr	38	1	1	§æi Lång §Ìn Sao Vµng ë §¹i Sù L·o L·o	0	1	0	50	0
GiÊy Mµu §á	5	31	\spr\vng\item\JXF_GIAY DO.spr	38	1	1	§æi Lång §Ìn C¸ ChĞp ë §¹i Sù L·o L·o	0	1	0	50	0
Thanh Tre	5	32	\spr\vng\item\JXF_THANH TRE.spr	387	1	1	§æi vËt phÈm Lång §Ìn Sao Vµng hoÆc Lång §Ìn B­ím Xanh ë §¹i Sù L·o L·o	0	1	0	50	0
Lång §Ìn Sao Vµng	5	33	\spr\vng\item\JXF_DEN NGOI SAO.spr	387	1	1	NhÊn ph¶i vµo ®Ó nhËn ®­îc phÇn th­ëng hÊp dÉn	0	1	0	50	0
Lång §Ìn C¸ ChĞp	5	34	\spr\vng\item\JXF_DEN CA CHEP.spr	387	1	1	NhÊn ph¶i vµo ®Ó nhËn ®­îc phÇn th­ëng hÊp dÉn	0	1	0	50	0
Tói d­îc phÈm cao cÊp	5	35	\spr\item\script\pingzi\200805\chuntiandalibao.spr	387	1	1	Bªn trong cã chøa d­îc phÈm cao cÊp <color=green>Håi Thiªn T¸i T¹o §¬n	0	0	0	0	1
M· Bµi - Xİch Long C©u	5	36	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Xİch Long C©u	1000	1	0	0	0
M· Bµi - Du Huy	5	37	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Du Huy	1000	1	0	0	0
M· Bµi - Háa Tinh Kim Hæ V­¬ng(vÜnh viÔn)	5	38	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Háa Tinh Kim Hæ V­¬ng	1000	1	0	0	0
M· Bµi - Kim Tinh B¹ch Hæ V­¬ng(vÜnh viÔn)	5	39	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Kim Tinh B¹ch Hæ V­¬ng	1000	1	0	0	0
M· Bµi - Long Tinh H¾c Hæ V­¬ng(vÜnh viÔn)	5	40	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 <enter><color=green>Long Tinh H¾c Hæ V­¬ng	1000	1	0	0	0
H¹t Hoa Hång 	5	41	\spr\item\questkey\seed_rose.spr	380	1	1	Trång ë trong thµnh sÏ ph¸t triÓn rÊt tèt	0	1	0	0	0
Tói Ph©n Bãn	5	42	\spr\item\script\jiefang_jieri\201004\feiliaodai.spr	41	1	1	Gióp c©y t¨ng tr­ëng víi tèc ®é rÊt nhanh	0	1	0	50	0
Thïng N­íc	5	43	\spr\item\script\jiefang_jieri\201004\shuitong.spr	41	1	1	Gióp c©y t¨ng tr­ëng nhanh	0	1	0	50	0
Thuèc Trõ S©u	5	44	\spr\item\script\jiefang_jieri\201004\shachongji.spr	41	1	1	H·y cÈn thËn khi sö dông	0	1	0	50	0
H¹t gièng c©y ®a	5	45	\spr\item\questkey\seed_gold.spr	380	1	1	H¹t gièng c©y ®a nµy ph¶i trång ë Hoa S¬n míi cã thÓ ph¸t triÓn ®­îc	0	1	0	0	0
Hoa cóc vµng	5	46	\spr\item\qingming\mum_y.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn S¾c Mµu H¹nh Phóc	0	1	0	50	0
Hoa cóc tr¾ng	5	47	\spr\item\qingming\mum_w.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn S¾c Mµu H¹nh Phóc	0	1	0	50	0
Hoa cóc tİm	5	48	\spr\item\qingming\mum_p.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn S¾c Mµu H¹nh Phóc	0	1	0	50	0
Hoa hång	5	49	\spr\item\script\hongse_meiguihua.spr	330	1	1	Nguyªn liÖu quan träng ®Ó ghĞp Vßng Hoa Tù Do 	0	1	0	50	0
Vßng Hoa Quèc Kh¸nh	5	50	\spr\item\yulanpenjie\jinlianhuahuan.spr	41	2	1	Vßng Hoa kû niÖm ngµy Quèc Kh¸nh.	0	1	0	50	0
Vßng Hoa §éc LËp	5	51	\spr\item\yulanpenjie\huolianhuahuan.spr	41	2	1	Vßng Hoa kû niÖm ngµy Quèc Kh¸nh.	0	1	0	50	0
Vßng Hoa Tù Do	5	52	\spr\item\yulanpenjie\shuilianhuahuan.spr	41	2	1	Vßng Hoa kû niÖm ngµy Quèc Kh¸nh.	0	1	0	50	0
Xoµi	5	53	\spr\item\yn_chunjie\yn_mangguo.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i M·ng CÇu	5	54	\spr\item\script\manggou.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i Cam	5	55	\spr\item\script\juzi.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i Lª	5	56	\spr\item\script\lizi.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i B­ëi	5	57	\spr\item\script\youzi.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
N¶i Chuèi	5	58	\spr\item\script\xiangjiao.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i Hång	5	59	\spr\item\script\shizi.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Dõa	5	60	\spr\item\script\spring2010\yezi.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
§u ®ñ	5	61	\spr\item\yn_chunjie\yn_mugua.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
Tr¸i Sung	5	62	\spr\item\script\fuyouguo.spr	41	1	1	Mét lo¹i tr¸i c©y bèn mïa	0	1	0	50	0
M©m B¹c	5	63	\spr\item\script\baiyinpan.spr	41	1	1	M©m b¹c dïng ®Ó xÕp tr¸i c©y bªn trªn	0	1	0	50	0
M©m Vµng	5	64	\spr\item\script\huangjinpan.spr	41	1	1	M©m vµng dïng ®Ó xÕp tr¸i c©y bªn trªn	0	1	0	50	0
M©m B¹c Ngò Qu¶	5	65	\spr\item\script\wuguobaiyinpan.spr	41	1	1	Sau khi sö dông sÏ nhËn ®­îc phÇn th­ëng	0	1	0	50	0
M©m Vµng Ngò Qu¶	5	66	\spr\item\script\wuguohuangjinpan.spr	41	1	1	Sau khi sö dông sÏ nhËn ®­îc phÇn th­ëng	0	1	0	50	0
Tói tr¸i c©y	5	67	\spr\item\newyear2008\yingchundai.spr	470	1	1	Bªn trong cã chøa rÊt nhiÒu tr¸i c©y bèn mïa	0	1	0	100	0
Tïng Méc B¶o R­¬ng	5	68	\spr\item\vietnam\christmas2009\songmubaoxiang.spr	41	1	1	Chøa ngÉu nhiªn c¸c vËt phÈm trang trİ C©y gi¸ng sinh	0	1	0	100	0
Qu¶ t¸o ®á	5	69	\spr\item\vietnam\christmas2009\hongpingguo.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh	0	1	0	50	0
KÑo chiÕc gËy	5	70	\spr\item\vietnam\christmas2009\shengdantangguo.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh	0	1	0	50	0
Ng«i sao ­íc väng	5	71	\spr\item\vietnam\christmas2009\xinyuanxingxing.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh	0	1	0	50	0
Hép Quµ Êm ¸p	5	72	\spr\item\vietnam\christmas2009\wennuanlihe.spr	41	1	1	Quµ gi¸ng sinh ®Æc biÖt ¤ng Giµ Noel dµnh tÆng cho mäi ng­êi	0	1	0	50	0
Hép Quµ An Lµnh	5	73	\spr\item\vietnam\christmas2009\pinganlihe.spr	41	1	1	Quµ gi¸ng sinh ®Æc biÖt ¤ng Giµ Noel dµnh tÆng cho mäi ng­êi	0	1	0	50	0
Hép Quµ H¹nh Phóc	5	74	\spr\item\vietnam\christmas2009\xingfulihe.spr	41	1	1	Mãn quµ ®Æc biÖt ®­îc dïng ®Ó tÆng nhau nh©n dŞp gi¸ng sinh	0	1	0	50	0
Hép Quµ Gi¸ng Sinh	5	75	\spr\item\vietnam\christmas2009\shengdanlihe.spr	41	1	1	Cã thÓ chøa thËt nhiÒu quµ gi¸ng sinh	0	1	0	50	0
R­¬ng Thiªn B¶o Khè 	5	76	\spr\item\script\xinshibaoxiang.spr	41	1	1	PhÇn th­ëng sau khi hoµn thµnh nhiÖm vô Thiªn B¶o Khè.	0	1	0	999	0
Tói C¸t T­êng	5	77	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	"Cung chóc t©n xu©n, bªn trong chøa nguyªn liÖu lµm møt NPC ThÇn Tµi biÕt c¸ch lµm."	0	1	0	50	0
Tói §­êng	5	78	\spr\item\script\spring2010\tangbao.spr	41	1	1	Nguyªn liÖu chÕ biÕn møt tÕt.	0	1	0	50	0
Gõng	5	79	\spr\item\script\spring2010\jiang.spr	41	1	1	Nguyªn liÖu chÕ biÕn møt tÕt.	0	1	0	50	0
Bİ 	5	80	\spr\item\script\spring2010\donggua.spr	41	1	1	Nguyªn liÖu chÕ biÕn møt tÕt.	0	1	0	50	0
Dõa	5	81	\spr\item\script\spring2010\yezi.spr	41	1	1	Nguyªn liÖu quan träng chÕ biÕn Møt Dõa.	0	1	0	50	0
Tói Dõa	5	82	\spr\item\script\spring2010\cailubao.spr	41	1	1	Bªn trong chøa 50 tr¸i Dõa ®Ó lµm møt tÕt.	0	1	0	0	0
Møt Gõng	5	83	\spr\item\script\spring2010\jiangguojiang.spr	41	1	1	Lo¹i møt kh«ng thÓ thiÕu trong ngµy tÕt.	0	1	0	50	0
Møt Bİ 	5	84	\spr\item\script\spring2010\dongguajiang.spr	41	1	1	Lo¹i møt kh«ng thÓ thiÕu trong ngµy tÕt.	0	1	0	50	0
Møt Dõa	5	85	\spr\item\script\spring2010\yezijiang.spr	41	1	1	Lo¹i møt kh«ng thÓ thiÕu trong ngµy tÕt.	0	1	0	50	0
B¶o r­¬ng kho b¸u (vµng)	5	86	\spr\item\script\baoxiang_jin.spr	367	1	1	"NhÊn chuét ph¶i sö dông, nhËn ®­îc phÇn th­ëng phong phó."	0	1	0	200	0
B¶o r­¬ng b¹c	5	87	\spr\item\script\baoxiang_yin.spr	367	1	1	"NhÊn chuét ph¶i sö dông, nhËn ®­îc phÇn th­ëng phong phó."	0	1	0	200	0
Tói thó c­ìi	5	88	\spr\item\event\jiefang_jieri\200904\yongpindai.spr	41	1	1	Më ra nhËn ®­îc 1 thó c­ìi ®Æc biÖt (h¹n sö dông 60 ngµy).	0	1	0	0	0
B¶o r­¬ng huyÒn tinh	5	89	\spr\item\script\cangbaotujinhe.spr	367	1	1	Bªn trong chøa ngÉu nhiªn huyÒn tinh kho¸ng th¹ch cao cÊp.	0	1	0	200	0
H¹t hoa hång	5	90	\spr\item\questkey\seed_rose.spr	380	1	1	Trång 1 C©y Hoa hång	0	1	0	0	0
Hoa cóc vµng	5	91	\spr\item\qingming\mum_y.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn Hoa Hång May M¾n	0	1	0	999	0
Hoa cóc tİm	5	92	\spr\item\qingming\mum_p.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn Hoa Hång May M¾n	0	1	0	999	0
Hoa cóc tr¾ng	5	93	\spr\item\qingming\mum_w.spr	41	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn S¾c Mµu H¹nh Phóc	0	1	0	999	0
Hoa hång	5	94	\spr\item\script\hongse_meiguihua.spr	330	1	1	Nguyªn liÖu ghĞp vßng hoa sù kiÖn Hoa Hång May M¾n 	0	1	0	999	0
Tói hoa hång	5	95	\spr\item\script\spring2010\cailubao.spr	41	1	1	Bªn trong chøa 50 hoa hång.	0	1	0	0	0
Vßng Hoa Vµng (Th­êng)	5	96	\spr\item\yulanpenjie\jinlianhuahuan.spr	41	2	1	Vßng Hoa sù kiÖn Hoa Hång May M¾n.	0	1	0	999	0
Vßng Hoa Hång (Trung)	5	97	\spr\item\yulanpenjie\huolianhuahuan.spr	41	2	1	Vßng Hoa sù kiÖn Hoa Hång May M¾n.	0	1	0	999	0
Vßng Hoa Xanh (§¹i)	5	98	\spr\item\yulanpenjie\shuilianhuahuan.spr	41	2	1	Vßng Hoa sù kiÖn Hoa Hång May M¾n.	0	1	0	999	0
Tói Quµ Sù KiÖn	5	99	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	Bªn trong chøa nguyªn liÖu sù kiÖn Hoa Hång May M¾n.	0	1	0	100	0
B¸ch Niªn Huy Hoµng qu¶ 	5	100	\spr\item\script\huihuangzhiguo_avd1.spr	380	1	1	"B¸ch niªn huy hoµng qu¶, sö dông sÏ gia t¨ng c«ng lùc"	99	1	0	0	0
Thiªn Niªn Huy Hoµng qu¶ 	5	101	\spr\item\script\huihuangzhiguo_avd2.spr	380	1	1	"Thiªn niªn huy hoµng qu¶, sö dông sÏ gia t¨ng nhiÒu lÇn c«ng lùc"	99	1	0	0	0
V¹n Niªn Huy Hoµng qu¶ 	5	102	\spr\item\script\huihuangzhiguo_avd3.spr	380	1	1	"V¹n niªn huy hoµng qu¶, sö dông sÏ gia t¨ng nhiÒu lÇn c«ng lùc"	99	1	0	0	0
Tói ChØ Lín	5	103	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	"Bªn trong chøa 50 cuén chØ lín, nguyªn liÖu cÇn thiÕt dïng ®Ó may ¸o."	0	1	0	0	0
§­¬ng Quy	5	104	\spr\vng\item\120628_event_thang_7\duongquy.spr	41	1	1	"Nguyªn liÖu ho¹t ®éng, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu, ®¸nh qu¸i ë b¶n ®å luyÖn c«ng sÏ nhËn ®­îc "	99	1	0	100	0
X¹ H­¬ng	5	105	\spr\vng\item\120628_event_thang_7\xahuong.spr	41	1	1	"Nguyªn liÖu ho¹t ®éng, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu, nhËn ®­îc trong c¸c ho¹t ®éng"	99	1	0	100	0
TrÇn B× 	5	106	\spr\vng\item\120628_event_thang_7\tranbi.spr	41	1	1	"Nguyªn liÖu ho¹t ®éng, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu, mua t¹i LÔ Quan Sù KiÖn"	99	1	0	100	0
Li T©m Th¶o	5	107	\spr\vng\item\120628_event_thang_7\lytamthao.spr	41	1	1	"Thu thËp Li T©m Th¶o nhËn ®­îc, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu"	99	1	0	100	0
D­îc v­¬ng ®Ønh	5	108	\spr\vng\item\120628_event_thang_7\duocvuongdinh.spr	41	1	1	"Nguyªn liÖu ho¹t ®éng, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu, cã trong B¶o VËt"	99	1	0	100	0
Hæ Khª §¬n	5	109	\spr\vng\item\120628_event_thang_7\hokhedon.spr	41	1	1	Sö dông nhËn ®­îc kinh nghiÖm	99	1	0	100	0
S­ B× §¬n	5	110	\spr\vng\item\120628_event_thang_7\subidon.spr	41	1	1	Sö dông nhËn ®­îc kinh nghiÖm vµ ngÉu nhiªn vËt phÈm	99	1	0	100	0
Ch©n Long §¬n	5	111	\spr\vng\item\120628_event_thang_7\chanlongdon.spr	41	1	1	Sö dông nhËn ®­îc kinh nghiÖm vµ ngÉu nhiªn vËt phÈm	99	1	0	100	0
Bang Héi ThiÕt HuyÕt LÖnh	5	112	\spr\vng\item\120628_event_thang_7\banghoithiethuyetlenh.spr	41	1	1	"PhÇn th­ëng ho¹t ®éng, thêi gian trùc tuyÕn sau khi ®ñ ®iÒu kiÖn sÏ nhËn ®­îc"	99	1	0	50	0
Bang Héi §an T©m LÖnh	5	113	\spr\vng\item\120628_event_thang_7\banghoidantamlenh.spr	41	1	1	"PhÇn th­ëng ho¹t ®éng, thêi gian trùc tuyÕn sau khi ®ñ ®iÒu kiÖn sÏ nhËn ®­îc"	99	1	0	50	0
R­¬ng D­îc v­¬ng ®Ønh	5	114	\spr\item\oldbox\oldbox.spr	41	1	1	"Bªn trong chøa 50 D­îc v­¬ng ®Ønh, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu"	0	1	0	0	0
Thiªn S¬n TuyÕt Liªn	5	115	\spr\item\script\tianshanxuelian.spr	41	1	1	"¡n vµo c«ng lùc sÏ gia t¨ng gÊp béi, dµnh cho cÊp tõ 90 trë xuèng."	0	1	0	0	0
§¸ Kim C­¬ng	5	116	\spr\vng\item\Item_JXF_KIMCUONGTHO.spr	333	1	1	§æi Chu T­íc B¹ch Ngäc ë §¹i Sù L·o L·o	0	1	0	100	0
Tói §¸ Kim C­¬ng	5	117	\spr\item\script\jiefang_jieri\201004\daojudai.spr	41	1	1	Bªn trong chøa 50 §¸ Kim C­¬ng	0	1	0	0	0
Hoµng Kim Xa ChØ 	5	118	\spr\vng\item\JXF_THANH TRE.spr	333	1	1	§æi ra c¸c lo¹i ngäc quı ë §¹i Sù L·o L·o	0	1	0	250	0
§¸ Th¹ch Anh	5	119	\spr\vng\item\JXF_ITEM_THACHANHTHO24x24.spr	333	1	1	§æi Kim L©n Th¹ch Anh ë §¹i Sù L·o L·o	0	1	0	250	0
§¸ Hång Ngäc	5	120	\spr\vng\item\JXF_ITEM_HONGOCTHO24x24.spr	333	1	1	§æi Hoa Hå Hång Ngäc ë §¹i Sù L·o L·o	0	1	0	250	0
Kim L©n Th¹ch Anh	5	121	\spr\vng\item\Item_JXF_THACHANHHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm.	0	1	0	100	0
Háa Hå Hång Ngäc	5	122	\spr\vng\item\Item_JXF_HONGNGOCHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm vµ cã c¬ héi nhËn ®­îc 1 vËt phÈm	0	1	0	100	0
Chu T­íc B¹ch Ngäc	5	123	\spr\vng\item\Item_JXF_KIMCUONGHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm vµ cã c¬ héi nhËn ®­îc 1 vËt phÈm hiÕm	0	1	0	100	0
L¹n Ng©n Cø 	5	124	\spr\item\tianchimijing\dao.spr	41	1	1	Dïng ®Ó ®æi §éc HuyÒn CÇm t¹i chç §¹i S­ L·o L·o	0	1	0	200	0
Tö §µn Méc	5	125	\spr\item\script\spring2010\meishuzhi.spr	41	1	1	Dïng ®Ó ®æi Méc T­¬ng vµ §éc HuyÒn CÇm t¹i chç §¹i S­ L·o L·o	0	1	0	200	0
Tinh ThiÕt Táa	5	126	\spr\item\script\duankaidejian.spr	41	1	1	Dïng ®Ó ®æi Méc T­¬ng vµ §éc HuyÒn CÇm t¹i chç §¹i S­ L·o L·o	0	1	0	200	0
Tinh ThiÕt TuyÕn	5	127	\spr\item\script\jingtiexian.spr	41	1	1	Dïng ®Ó ®æi Méc T­¬ng vµ §éc HuyÒn CÇm t¹i chç §¹i S­ L·o L·o	0	1	0	200	0
Méc T­¬ng	5	128	\spr\item\script\muxiang.spr	41	1	1	NhÊn chuét ph¶i sö dông nhËn ®­îc phÇn th­ëng.	0	1	0	200	0
§éc HuyÒn CÇm	5	129	\spr\item\script\duxianqin.spr	41	1	1	NhÊn chuét ph¶i sö dông nhËn ®­îc phÇn th­ëng.	0	1	0	200	0
L¹n Ng©n Cø B¶o R­¬ng	5	130	\spr\item\script\baoxiang_jin.spr	41	1	1	Bªn trong chøa 50 L¹n Ng©n Cø.	0	1	0	0	0
Ph¸o hoa ngµy TÕt	5	131	\spr\item\script\spring2007\xinnian_lihua.spr	41	1	1	"§èt ph¸o hoa trong 5 phót.<enter>Trong thêi gian nµy, c¸c nhãm tËp trung xung quanh sÏ liªn tôc nhËn ®­îc ®iÓm kinh nghiÖm.<enter>Cã thÓ nhËn ®­îc tèi ®a 200 triÖu ®iÓm.<enter><color=blue>Sö dông ®Õn: 10/02/2016<color>"	0	1	0	100	0
ThiÖp chóc TÕt 1	5	132	\spr\item\christmas2006\xmascard2.spr	38	1	1	NhÊn chuét ph¶i ®Ó më 	1	1	0	20	0
ThiÖp chóc TÕt 2	5	133	\spr\item\christmas2006\xmascard3.spr	38	1	1	NhÊn chuét ph¶i ®Ó më 	1	1	0	20	0
ThiÖp chóc TÕt 3	5	134	\spr\item\christmas2006\xmascard4.spr	38	1	1	NhÊn chuét ph¶i ®Ó më 	1	1	0	20	0
ThiÖp chóc TÕt 4	5	135	\spr\item\christmas2006\xmascard5.spr	38	1	1	NhÊn chuét ph¶i ®Ó më 	1	1	0	20	0
Bao l× x× tÕt	5	136	\spr\item\script\spring2007\chunjie_hongbao.spr	342	1	1	Trong chøa ngÉu nhiªn 1 viªn ph¸o.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
